step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
52,3,0,5,1,4,0.0,0.35714,179,0.04441,1
52,3,0,4,2,5,0.0,0.28571,143,0.04441,0
52,3,0,2,2,4,0.0,0.35714,178,0.04466,0
53,5,1,7,2,3,0.0,0.3125,156,0.04455,1
53,5,1,6,3,5,0.0,0.1875,94,0.04418,0
53,5,1,4,3,5,0.0,0.1875,94,0.04418,0
53,5,1,7,0,3,0.0,0.3125,156,0.04455,0
54,7,2,6,4,5,0.0,0.21053,110,0.04245,0
54,7,2,5,3,4,0.0,0.26316,138,0.04238,0
54,7,2,9,1,2,-0.00397,0.52632,252,0.0426,1
55,9,1,8,3,5,0.0,0.28571,149,0.04263,0
55,9,1,7,0,2,-0.00285,0.71429,351,0.04257,1
56,7,0,8,2,4,-0.00375,0.55556,267,0.04265,1
56,7,0,6,2,5,0.0,0.44444,233,0.04251,0
57,8,2,9,4,3,-0.0122,0.18692,82,0.03821,0
57,8,2,7,4,5,-0.01754,0.11215,57,0.02574,0
57,8,2,6,3,4,-0.05405,0.14019,37,0.02852,0
57,8,2,9,0,1,0.0,0.56075,324,0.03862,1
58,9,0,7,1,4,0.0,1.0,500,0.04468,1
59,7,1,8,3,4,0.0,0.22388,112,0.04435,0
59,7,1,6,3,3,0.0,0.29851,149,0.04454,1
59,7,1,5,2,5,0.0,0.1791,90,0.04405,0
59,7,1,5,0,3,0.0,0.29851,149,0.04454,0
60,6,3,7,5,6,0.0,0.27027,135,0.04448,0
60,6,3,4,4,5,0.0,0.32432,162,0.04454,0
60,6,3,4,2,4,0.0,0.40541,203,0.04448,1
61,4,2,5,4,7,0.0,0.125,62,0.04441,0
61,4,2,3,4,4,0.0,0.21875,110,0.04411,0
61,4,2,2,3,4,0.0,0.21875,109,0.04451,0
61,4,2,5,0,2,0.0,0.4375,219,0.04451,1
62,5,0,6,2,4,0.0,0.5,262,0.04255,1
62,5,0,3,1,4,-0.0042,0.5,238,0.04262,0
63,6,2,8,3,3,0.0,0.33333,167,0.04441,1
63,6,2,7,4,4,0.0,0.25,125,0.04441,0
63,6,2,5,4,6,0.0,0.16667,83,0.04441,0
63,6,2,4,3,4,0.0,0.25,125,0.04441,0
64,8,3,9,5,2,-0.00397,0.52632,252,0.0426,1
64,8,3,7,5,5,0.0,0.21053,110,0.04245,0
64,8,3,6,4,4,0.0,0.26316,138,0.04238,0
65,9,5,8,7,3,-0.0042,0.5,238,0.04262,0
65,9,5,7,4,3,0.0,0.5,262,0.04255,1
66,7,4,8,6,4,-0.00699,0.31915,143,0.04261,0
66,7,4,6,6,5,0.0,0.25532,134,0.04233,0
66,7,4,5,3,3,0.0,0.42553,223,0.04252,1
67,5,3,6,5,4,0.0,0.31915,159,0.04465,0
67,5,3,4,5,5,0.0,0.25532,128,0.0443,0
67,5,3,3,4,3,0.0,0.42553,213,0.04451,1
68,3,4,4,6,5,0.0,0.25532,134,0.04233,0
68,3,4,2,6,4,0.0,0.31915,167,0.04252,0
68,3,4,2,2,3,-0.00503,0.42553,199,0.0426,1
69,2,2,4,3,3,-0.00694,0.30769,144,0.04055,0
69,2,2,1,4,4,-0.0098,0.23077,102,0.04034,0
69,2,2,1,0,2,0.0,0.46154,254,0.04051,1
